                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5942,                 1.9802,                 1.6424,                0.52767,                 0.5213,                0.50171,                0.22943,                 1.8495,                 2.1221,                 1.9011,               0.006733,               0.006733,               0.006733
                     36,                 1.5846,                  1.933,                 1.6326,                0.53855,                0.33959,                 0.3659,                0.16282,                  2.033,                 2.6004,                  2.122,               0.006634,               0.006634,               0.006634
                     37,                 1.5794,                 1.9655,                 1.6285,                0.49517,                0.56263,                0.50688,                0.24603,                 1.8035,                 1.9725,                 1.8619,               0.006535,               0.006535,               0.006535
                     38,                 1.5639,                 1.9248,                 1.6222,                 0.4472,                0.51025,                0.43346,                 0.2008,                 1.8523,                 2.0996,                 1.9379,               0.006436,               0.006436,               0.006436
                     39,                 1.5533,                 1.9224,                 1.6181,                0.49006,                0.58043,                0.54191,                0.26633,                 1.7428,                 1.8708,                 1.7887,               0.006337,               0.006337,               0.006337
                     40,                 1.5454,                 1.9037,                 1.6181,                0.50757,                0.53562,                0.51146,                0.24809,                 1.8002,                 1.9014,                  1.829,               0.006238,               0.006238,               0.006238
                     41,                 1.5551,                  1.906,                 1.6163,                0.38529,                0.40554,                 0.3566,                0.17624,                 1.9993,                 2.5099,                 2.1269,               0.006139,               0.006139,               0.006139
                     42,                 1.5545,                 1.9131,                 1.6185,                0.50406,                0.56246,                0.53647,                  0.258,                 1.7648,                 1.9035,                 1.7924,                0.00604,                0.00604,                0.00604
                     43,                 1.5601,                 1.8858,                 1.6161,                0.50847,                0.56311,                0.54152,                 0.2653,                 1.7723,                 1.8626,                 1.7852,               0.005941,               0.005941,               0.005941
                     44,                 1.5413,                   1.92,                 1.6101,                0.46095,                0.60636,                0.55757,                0.26793,                 1.7629,                 1.8963,                  1.805,               0.005842,               0.005842,               0.005842
